stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,vehicle_type
0:3900,DOUBLE TREE STREET at PARKROSE ROAD,no 81,35.025435,-90.103444,,0,1:3900,3
0:SPAWELEF,SOUTH PARKWAY@WELLINGTON,st 2281 (no 1238),35.107321,-90.046639,,0,1:SPAWELEF,3
0:FOUGEONN,4TH ST@GEORGIA AVE,st 804 (no 15),35.128977,-90.05046,,0,1:1304,3
0:LAUWALNN,LAUDERDALE ST@WALDORF AVE,st 4802,35.105221,-90.043929,,0,1:LAUWALNN,3
0:WHTC,WILLIAM HUDSON TRANSIT CENTER,st 7259 (no 12),35.156554,-90.047698,,0,1:2,3
0:MCLMISWN,MCLEMORE AVENUE at MISSISSIPPI BOULEVARD,st 4276 (no 1237),35.115702,-90.037099,,0,1:MCLMISWN,3
0:MAIMADIB,MAIN@MADISON TRLLY,st 6502 (no 947),35.145179,-90.052815,,0,1:MAINMADI,3
0:MAICOUOB,MAIN@MADISON TRLLY,st 6510 (no 947),35.146627,-90.052261,,0,1:MAINMADI,3
0:WEAMITNN,WEAVER ROAD at WEST MITCHELL ROAD,st 5866,35.056021,-90.095309,,0,1:WEAMITNN,3
0:HOLMALEN,HOLMES ROAD at MALONE ROAD,st 2524,35.005961,-89.921302,,0,1:HOLMALEN,3
0:GEPMAIEN,GE PATTERSON AVENUE at MAIN STREET,st 468,35.132749,-90.059424,,0,1:GEPMAIEN,3
0:HORRAISM,HORN LAKE ROAD at RAINES ROAD,st 4902,35.036737,-90.069794,,0,1:HORRAISM,3
0:HORRAISN,HORN LAKE ROAD at RAINES ROAD,st 4903,35.035664,-90.070059,,0,1:HORRAISN,3
0:FRAOVEEF,FRAYSER PLAZA,st 1382 (no 852),35.217021,-89.992321,,0,1:4218,3
0:HORRAINN,HORN LAKE ROAD at RAINES ROAD,st 4943,35.035003,-90.070136,,0,1:HORRAINN,3
0:2,WILLIAM HUDSON TRANSIT CENTER,st 469 (no 12),35.156554,-90.047698,,0,1:2,3
0:3206,AIRWAYS TRANSIT CENTER,st 6434 (no 449),35.061781,-89.992831,,0,1:3206,3
