route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
02,0_Weekday,0_Weekday722888,WILLIAM HUDSON ,1,202,IBUOFM
02,0_Weekday,0_Weekday722889,WILLIAM HUDSON ,1,202,IBUOFM
02,0_Weekday,0_Weekday722890,WILLIAM HUDSON ,1,202,IBUOFM
02,0_Weekday,0_Weekday722891,WILLIAM HUDSON ,1,202,IBUOFM
02,0_Weekday,0_Weekday722884,WILLIAM HUDSON ,1,201,IBMTMORIAH
02,0_Weekday,0_Weekday722885,WILLIAM HUDSON ,1,203,IBMTMORIAH
02,0_Weekday,0_Weekday722886,WILLIAM HUDSON ,1,201,IBMTMORIAH
02,0_Weekday,0_Weekday722887,WILLIAM HUDSON ,1,203,IBMTMORIAH
02,0_Weekday,0_Weekday722892,WILLIAM HUDSON ,1,202,IBUOFM
02,0_Weekday,0_Weekday722893,WILLIAM HUDSON ,1,202,IBUOFM
02,0_Weekday,0_Weekday722894,WILLIAM HUDSON ,1,201,IBMTMORIAH
02,0_Weekday,0_Weekday722872,KNIGHT ARNOLD @ RIDGEWAY RD,0,203,OBMTMORIAH
02,0_Weekday,0_Weekday722873,CENTRAL AVE @ U-M CROSSWALK,0,202,OBUOFM
02,0_Weekday,0_Weekday722874,CENTRAL AVE @ U-M CROSSWALK,0,202,OBUOFM
02,0_Weekday,0_Weekday722875,CENTRAL AVE @ U-M CROSSWALK,0,202,OBUOFM
02,0_Weekday,0_Weekday722868,KNIGHT ARNOLD @ RIDGEWAY RD,0,203,OBMTMORIAH
02,0_Weekday,0_Weekday722869,KNIGHT ARNOLD @ RIDGEWAY RD,0,201,OBMTMORIAH
02,0_Weekday,0_Weekday722870,KNIGHT ARNOLD @ RIDGEWAY RD,0,203,OBMTMORIAH
02,0_Weekday,0_Weekday722871,KNIGHT ARNOLD @ RIDGEWAY RD,0,201,OBMTMORIAH
02,0_Weekday,0_Weekday722880,WILLIAM HUDSON ,1,201,IBMTMORIAH
02,0_Weekday,0_Weekday722881,WILLIAM HUDSON ,1,203,IBMTMORIAH
02,0_Weekday,0_Weekday722882,WILLIAM HUDSON ,1,201,IBMTMORIAH
02,0_Weekday,0_Weekday722883,WILLIAM HUDSON ,1,203,IBMTMORIAH
02,0_Weekday,0_Weekday722876,CENTRAL AVE @ U-M CROSSWALK,0,202,OBUOFM
02,0_Weekday,0_Weekday722877,CENTRAL AVE @ U-M CROSSWALK,0,202,OBUOFM
02,0_Weekday,0_Weekday722878,CENTRAL AVE @ U-M CROSSWALK,0,202,OBUOFM
02,0_Weekday,0_Weekday722879,KNIGHT ARNOLD @ RIDGEWAY RD,0,201,OBMTMORIAH
02,2-Sat,2-Sat722898,KNIGHT ARNOLD @ RIDGEWAY RD,0,202,OBMTMORIAH
02,2-Sat,2-Sat722899,KNIGHT ARNOLD @ RIDGEWAY RD,0,201,OBMTMORIAH
02,2-Sat,2-Sat722901,KNIGHT ARNOLD @ RIDGEWAY RD,0,202,OBMTMORIAH
02,2-Sat,2-Sat722902,KNIGHT ARNOLD @ RIDGEWAY RD,0,201,OBMTMORIAH
02,2-Sat,2-Sat722895,KNIGHT ARNOLD @ RIDGEWAY RD,0,202,OBMTMORIAH
02,2-Sat,2-Sat722896,KNIGHT ARNOLD @ RIDGEWAY RD,0,201,OBMTMORIAH
01,0_Weekday,0_Weekday722795,WALNUT @ RACINE,0,102,OBUNION
01,0_Weekday,0_Weekday722810,WALNUT @ RACINE,0,101,OBUNION
02,0_Weekday,0_Weekday722865,KNIGHT ARNOLD @ RIDGEWAY RD,0,201,OBMTMORIAH
02,0_Weekday,0_Weekday722866,KNIGHT ARNOLD @ RIDGEWAY RD,0,203,OBMTMORIAH
02,0_Weekday,0_Weekday722867,KNIGHT ARNOLD @ RIDGEWAY RD,0,201,OBMTMORIAH
01,0_Weekday,0_Weekday722796,WALNUT @ RACINE,0,101,OBUNION
01,0_Weekday,0_Weekday722800,WALNUT @ RACINE,0,102,OBUNION
01,0_Weekday,0_Weekday722804,WALNUT @ RACINE,0,101,OBUNION
01,0_Weekday,0_Weekday722808,WALNUT @ RACINE,0,102,OBUNION
04,3-Sun,3-Sun722988,WILLIAM HUDSON ,1,402,IBWALKER
08,0_Weekday,0_Weekday723086,WILLIAM HUDSON ,1,803,IBCHELSEA
04,3-Sun,3-Sun722989,WILLIAM HUDSON ,1,401,IBWALKER
08,0_Weekday,0_Weekday723087,WILLIAM HUDSON ,1,801,IBCHELSEA
04,3-Sun,3-Sun722990,WILLIAM HUDSON ,1,402,IBWALKER
08,0_Weekday,0_Weekday723088,WILLIAM HUDSON ,1,802,IBCHELSEA
04,3-Sun,3-Sun722991,WILLIAM HUDSON ,1,401,IBWALKER
08,0_Weekday,0_Weekday723089,WILLIAM HUDSON ,1,803,IBCHELSEA
04,3-Sun,3-Sun722984,AIRWAYS TRANSIT,0,402,OBWALKER
08,0_Weekday,0_Weekday723082,WILLIAM HUDSON ,1,802,IBCHELSEA
04,3-Sun,3-Sun722985,AIRWAYS TRANSIT,0,401,OBWALKER
08,0_Weekday,0_Weekday723083,WILLIAM HUDSON ,1,803,IBCHELSEA
04,3-Sun,3-Sun722986,AIRWAYS TRANSIT,0,402,OBWALKER
08,0_Weekday,0_Weekday723084,WILLIAM HUDSON ,1,801,IBCHELSEA
04,3-Sun,3-Sun722987,WILLIAM HUDSON ,1,401,IBWALKER
08,0_Weekday,0_Weekday723085,WILLIAM HUDSON ,1,802,IBCHELSEA
08,0_Weekday,0_Weekday723094,WILLIAM HUDSON ,1,802,IBCHELSEA
08,0_Weekday,0_Weekday723095,WILLIAM HUDSON ,1,803,IBCHELSEA
08,0_Weekday,0_Weekday723096,WILLIAM HUDSON ,1,801,IBCHELSEA
08,0_Weekday,0_Weekday723097,WILLIAM HUDSON ,1,802,IBCHELSEA
04,3-Sun,3-Sun722992,WILLIAM HUDSON ,1,402,IBWALKER
08,0_Weekday,0_Weekday723090,WILLIAM HUDSON ,1,801,IBCHELSEA
04,3-Sun,3-Sun722993,WILLIAM HUDSON ,1,401,IBWALKER
08,0_Weekday,0_Weekday723091,WILLIAM HUDSON ,1,802,IBCHELSEA
04,3-Sun,3-Sun722994,WILLIAM HUDSON ,1,402,IBWALKER
08,0_Weekday,0_Weekday723092,WILLIAM HUDSON ,1,803,IBCHELSEA
08,0_Weekday,0_Weekday723093,WILLIAM HUDSON ,1,801,IBCHELSEA
08,0_Weekday,0_Weekday723070,AMERICAN WAY TR,0,802,OBCHELSEA
08,0_Weekday,0_Weekday723071,AMERICAN WAY TR,0,803,OBCHELSEA
08,0_Weekday,0_Weekday723072,AMERICAN WAY TR,0,801,OBCHELSEA
08,0_Weekday,0_Weekday723073,AMERICAN WAY TR,0,802,OBCHELSEA
08,0_Weekday,0_Weekday723066,AMERICAN WAY TR,0,801,OBCHELSEA
08,0_Weekday,0_Weekday723067,AMERICAN WAY TR,0,802,OBCHELSEA
08,0_Weekday,0_Weekday723068,AMERICAN WAY TR,0,803,OBCHELSEA
08,0_Weekday,0_Weekday723069,AMERICAN WAY TR,0,801,OBCHELSEA
04,3-Sun,3-Sun722980,AIRWAYS TRANSIT,0,402,OBWALKER
08,0_Weekday,0_Weekday723078,WILLIAM HUDSON ,1,801,IBCHELSEA
04,3-Sun,3-Sun722981,AIRWAYS TRANSIT,0,401,OBWALKER
08,0_Weekday,0_Weekday723079,WILLIAM HUDSON ,1,802,IBCHELSEA
04,3-Sun,3-Sun722982,AIRWAYS TRANSIT,0,402,OBWALKER
08,0_Weekday,0_Weekday723080,WILLIAM HUDSON ,1,803,IBCHELSEA
04,3-Sun,3-Sun722983,AIRWAYS TRANSIT,0,401,OBWALKER
08,0_Weekday,0_Weekday723081,WILLIAM HUDSON ,1,801,IBCHELSEA
08,0_Weekday,0_Weekday723074,AMERICAN WAY TR,0,803,OBCHELSEA
04,3-Sun,3-Sun722977,AIRWAYS TRANSIT,0,401,OBWALKER
08,0_Weekday,0_Weekday723075,AMERICAN WAY TR,0,801,OBCHELSEA
04,3-Sun,3-Sun722978,AIRWAYS TRANSIT,0,402,OBWALKER
08,0_Weekday,0_Weekday723076,AMERICAN WAY TR,0,802,OBCHELSEA
04,3-Sun,3-Sun722979,AIRWAYS TRANSIT,0,401,OBWALKER
08,0_Weekday,0_Weekday723077,AMERICAN WAY TR,0,803,OBCHELSEA
08,0_Weekday,0_Weekday723098,WILLIAM HUDSON ,1,803,IBCHELSEA
08,0_Weekday,0_Weekday723099,WILLIAM HUDSON ,1,803,IBCHELSEA
04,2-Sat,2-Sat722963,AIRWAYS TRANSIT,0,401,OBWALKER
07,0_Weekday,0_Weekday722995,IRS,0,7694,OBSHEHOLM
04,2-Sat,2-Sat722964,AIRWAYS TRANSIT,0,402,OBWALKER
07,0_Weekday,0_Weekday722996,IRS,0,7693,OBSHEHOLM
04,2-Sat,2-Sat722965,AIRWAYS TRANSIT,0,401,OBWALKER
07,0_Weekday,0_Weekday722997,IRS,0,7692,OBSHEHOLM
04,2-Sat,2-Sat722966,AIRWAYS TRANSIT,0,402,OBWALKER
04,2-Sat,2-Sat722959,AIRWAYS TRANSIT,0,401,OBWALKER
04,2-Sat,2-Sat722960,AIRWAYS TRANSIT,0,402,OBWALKER
04,2-Sat,2-Sat722961,AIRWAYS TRANSIT,0,401,OBWALKER
04,2-Sat,2-Sat722962,AIRWAYS TRANSIT,0,402,OBWALKER
